"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,";"buzzardLabel";7;"";;;
2;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
3;"K3,K1";"easyC-connector";2;"easyC-SMD";;;
4;"R2,R5,R4";"0603R";3;"10k";;;
5;"C2,C1";"0603C";2;"0.1uF";;;
6;"R3";"0402R";1;"2k2";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"K4";"DSHP03TS-S";1;"DSHP03TS-S";;;
9;"D1";"0402LED";1;"purple";;;
10;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
11;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
12;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
13;"G***";"Symbol-Front-Movement";1;"LOGO";;;
14;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
15;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
16;"R1";"0603R";1;"300R";;;
17;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
18;"U1";"TCRT5000L";1;"tcrt5000L";;;
19;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
